,Klebsiella pneumoniae 1162281 1037908.3,Klebsiella pneumoniae KCTC 2242 1049565.4,Klebsiella pneumoniae 1191100241 1074486.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH1 1087440.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH2 1087441.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH4 1087443.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH5 1087444.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH6 1087445.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH7 1094167.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH8 1094168.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH9 1094169.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH10 1094170.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11 1094171.3,Klebsiella pneumoniae subsp. pneumoniae HS11286 1125630.4,Klebsiella pneumoniae subsp. pneumoniae KPNIH12 1128946.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH14 1128948.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH16 1128950.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH17 1128951.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH18 1128952.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH19 1128953.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH20 1128954.3,Klebsiella pneumoniae subsp. pneumoniae DSM 30104 1162296.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH21 1168062.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH22 1168063.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH23 1168064.3,Klebsiella pneumoniae subsp. pneumoniae LZ 1177153.3,Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO 1185418.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO 1185419.3,Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO 1185420.3,Klebsiella pneumoniae subsp. pneumoniae 1084 1193292.6,Klebsiella pneumoniae subsp. pneumoniae WGLW1 1203544.3,Klebsiella pneumoniae subsp. pneumoniae WGLW2 1203545.3,Klebsiella pneumoniae subsp. pneumoniae WGLW5 1203547.3,Klebsiella pneumoniae subsp. pneumoniae ST258-490 1212766.3,Klebsiella pneumoniae subsp. pneumoniae KpQ3 1226115.3,Klebsiella pneumoniae subsp. pneumoniae Ecl8 1226680.3,Klebsiella pneumoniae ATCC BAA-2146 1263871.3,Klebsiella pneumoniae hvKP1 1267897.3,Klebsiella pneumoniae ATCC BAA-1705 1276652.3,Klebsiella pneumoniae 700603 1276653.3,Klebsiella pneumoniae PR04 1279040.3,Klebsiella pneumoniae UHKPC40 1284787.3,Klebsiella pneumoniae UHKPC23 1284788.3,Klebsiella pneumoniae UHKPC05 1284790.3,Klebsiella pneumoniae DMC0526 1284796.3,Klebsiella pneumoniae UHKPC48 1284801.3,Klebsiella pneumoniae UHKPC09 1284810.3,Klebsiella pneumoniae UHKPC01 1284811.3,Klebsiella pneumoniae UHKPC81 1284812.3,Klebsiella pneumoniae UHKPC27 1284813.3,Klebsiella pneumoniae UHKPC 52 1284814.3,Klebsiella pneumoniae UHKPC24 1284815.3,Klebsiella pneumoniae UHKPC26 1284816.3,Klebsiella pneumoniae UHKPC57 1284817.3,Klebsiella pneumoniae UHKPC45 1284819.3,Klebsiella pneumoniae UHKPC22 1284820.3,Klebsiella pneumoniae UHKPC29 1284821.3,Klebsiella pneumoniae UHKPC32 1284822.3,Klebsiella pneumoniae UHKPC04 1284823.3,Klebsiella pneumoniae VAKPC252 1284824.3,Klebsiella pneumoniae VAKPC254 1284825.3,Klebsiella pneumoniae VAKPC269 1284826.3,Klebsiella pneumoniae VAKPC278 1284827.3,Klebsiella pneumoniae VAKPC280 1284828.3,Klebsiella pneumoniae VAKPC270 1284829.3,Klebsiella pneumoniae VAKPC276 1284830.3,Klebsiella pneumoniae VAKPC297 1284831.3,Klebsiella pneumoniae VAKPC309 1284832.3,Klebsiella pneumoniae KP-11 1284834.3,Klebsiella pneumoniae HSL4 1294269.3,Klebsiella pneumoniae 361_1301 1304920.3,Klebsiella pneumoniae 500_1420 1304922.3,Klebsiella pneumoniae 540_1460 1304923.3,Klebsiella pneumoniae 646_1568 1304924.3,Klebsiella pneumoniae subsp. pneumoniae 12-3578 1306950.3,Klebsiella pneumoniae ATCC 25955 1316938.3,Klebsiella pneumoniae G5-2 1316939.3,Klebsiella pneumoniae MGH 78578 272620.3,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 272620.9,Klebsiella pneumoniae NTUH-K2044 484021.4,Klebsiella pneumoniae 342 507522.6,Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 667127.3
KPN_03057,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.44,100,99.44,99.44,100,100,100,100,99.44,100,98.33,100,100,100,100,100,100,100,100,100,100,100,100,100,99.44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.13,100,100,100,100,98.33,100,100,100,100,99.44,97.78,99.44
KPN_04290,99.55,99.55,98.67,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,100,99.55,99.55,99.11,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,94.64,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.55,,99.55,99.55,99.55,99.55,94.2,99.55,99.55,100,99.55,99.11,95.54,99.55
KPN_01958,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,,99.7,100,100,100,100,100,100,99.7,100,96.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,96.7,99.7,99.7,100,100,100,97.3,100
KPN_02119,100,99.25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.63,100,100,100,99.63,100,100,100,100,100,99.63,99.63,100,100,99.25,100,99.63,100,95.9,99.63,100,100,100,100,100,100,100,99.63,100,100,100,100,99.63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.25,99.63,99.63,100,100,100,96.27,100,100,100,100,100,98.51,99.25
KPN_04338,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,99.57,99.57,100,100,100,98.71,99.57
KPN_03569,99.76,99.28,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.28,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,98.79,99.76,99.52,99.76,99.28,99.52,99.52,99.52,98.55,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.76,99.52,99.52,99.52,99.52,98.31,99.52,99.52,100,100,99.52,96.62,99.52
KPN_00168,99.39,99.7,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.7,99.27,98.35,99.38,99.85,99.85,99.55,99.39,99.85,99.85,99.7,99.85,99.85,99.85,97.58,,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.55,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.08,99.85,99.85,99.85,99.85,97.58,99.7,99.7,100,100,99.85,91.97,99.55
KPN_00003,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.38,100
KPN_04352,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,100,99.31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.31,100,100,100,100,100,99.31,100
KPN_01666,97.22,99.07,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.15,100,100,100,98.15,100,100,100,99.07,98.15,100,99.07,100,99.07,99.07,100,99.07,100,98.15,99.07,100,100,100,100,100,100,100,98.15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.07,100,100,100,100,98.15,100,100,100,100,99.07,95.37,99.07
KPN_00046,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.65,100,100,100,99.65,99.67,100,100,100,99.67,100,100,100,100,98.94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.67,100,100,100,100,98.94,100,100,100,100,99.65,98.94,100
KPN_00049,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.39,99.7,99.7,99.7,99.39,99.39,99.39,100,99.7,99.7,99.7,99.7,99.7,99.7,97.57,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.39,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.39,99.39,99.7,99.7,99.7,99.7,97.26,99.7,99.7,100,100,99.39,99.09,99.09
KPN_00885,100,99.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.73,100,100,100,99.73,100,100,100,99.46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.46,100,100,100,100,100,100,99.19
KPN_01144,100,99.76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.76,100,100,100,99.76,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.28,100
KPN_01999,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.66,100,100,99.74,99.74,100,100,99.74,99.74,100,99.74,99.74,99.74,99.74,100,100,100,99.74,100,100,100,100,99.74,99.74,99.74,99.74,99.74,100,99.74,100,100,99.74,100,100,100,97.38,100,100,100,100,99.67,98.13,100
KPN_00166,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.62,100,100,100,100,100,100,100,99.62,100,100,100,100,99.62,100,100,100,100,99.25,99.62,100,100,100,100,100,100,100,99.62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.25,100,100,100,100,99.62,98.24,99.62
KPN_03432,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.09,99.64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.09,99.64,99.64,100,100,100,97.45,100
KPN_00040,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.74,99.21,99.74,99.48,99.74,99.48,99.48,99.48,99.48,99.21,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.74,99.56,99.48,99.48,99.48,99.48,99.21,99.48,99.48,100,99.74,99.74,98.17,99.23
KPN_02186,99.18,99.59,99.59,98.37,98.37,98.37,98.37,98.37,98.37,98.39,98.37,98.39,98.37,99.59,98.37,98.39,98.39,98.39,98.37,98.37,98.39,97.55,98.37,98.37,98.39,99.19,98.39,98.37,98.37,99.18,99.62,99.6,99.62,98.37,99.18,99.59,99.6,99.19,98.37,97.18,99.18,98.39,98.39,98.39,98.39,98.39,98.39,98.39,99.19,98.39,98.39,98.39,98.39,99.6,98.37,98.39,98.39,98.39,98.39,98.39,98.39,98.37,98.39,98.39,98.39,98.39,98.39,98.37,99.18,99.19,98.39,98.39,98.39,98.37,96.77,99.19,99.19,100,100,99.18,96.73,99.19
KPN_01869,99.61,100,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,100,99.61,100,99.61,100,100,100,100,99.61,94.55,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,,,,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,94.55,100,100,100,100,100,94.16,100
KPN_00061,99.8,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.8,99.6,99.6,99.6,99.8,99.8,99.8,99.8,99.6,99.4,99.8,99.6,99.8,99.6,99,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.8,99.8,99.6,99.6,99.6,99.6,99,100,100,100,100,99.8,99.4,99.8
KPN_01228,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.4,100,100,100,100,98.18,100,100,100,100,100,99.27,99.64
KPN_02134,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.72,100
KPN_01563,99.46,99.27,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.46,99.64,99.64,99.64,99.64,99.64,99.58,99.64,99.09,99.64,99.64,99.64,99.46,99.64,99.64,99.64,99.46,99.46,99.46,99.27,99.64,100,99.27,99.64,99.64,99.64,99.27,99.1,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.46,99.64,99.64,99.64,99.64,99.46,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.46,99.46,99.64,99.64,99.64,99.64,,99.46,99.46,100,100,99.46,98.91,99.27
KPN_00254,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,100,100,100,100,100,100,100,100,99.79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,99.79,99.79,100,100,100,100,
KPN_01603,99.51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.51,100,100,100,100,100,100,100,100,99.51,100,100,100,100,100,100,100,100,94.66,100,100,100,100,98.84,100,100,100,100,100,100,100,100,100,98.84,98.84,100,100,100,100,100,100,100,100,100,100,98.84,100,100,99.51,100,100,,100,95.63,100,100,100,100,100,98.06,100
KPN_03796,100,100,100,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,100,99.77,99.57,99.77,99.77,99.77,99.77,99.77,100,99.77,99.77,98.54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.66,100,100,100,100,100,100,100,100,100,100,99.54,99.77
KPN_00414,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.77,100,100,100,100,99.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.77,100,100,100,100,100,99.77,99.53
KPN_01881,83.37,99.81,99.42,99.42,83.37,99.42,99.42,99.42,99.42,83.37,83.37,83.37,83.37,99.71,99.42,83.37,83.37,83.37,83.37,83.37,83.37,99.81,83.37,99.42,99.42,99.81,83.37,99.42,83.37,83.37,83.37,99.81,99.42,83.37,83.17,99.81,99.42,83.37,83.37,99.03,83.37,83.37,83.37,99.42,83.37,99.42,83.37,83.37,99.77,83.37,83.37,83.37,83.37,83.37,99.42,83.37,83.37,99.42,99.42,99.42,99.42,83.37,83.37,83.37,99.42,99.42,99.42,83.37,83.37,83.37,83.37,99.42,83.37,83.37,82.97,83.37,83.37,100,100,99.81,83.37,83.56
KPN_02541,99.76,100,99.76,88.11,100,88.11,100,100,88.11,100,100,88.11,100,99.76,100,100,100,100,100,100,100,100,88.11,88.11,88.11,88.35,88.11,100,100,88.11,88.35,100,99.76,100,88.35,100,99.76,100,88.11,99.06,100,100,100,100,100,100,88.11,88.11,99.53,88.11,100,100,88.11,100,100,100,100,100,100,100,88.11,100,88.11,100,100,100,88.11,100,99.76,100,88.11,100,100,100,87.74,88.35,99.76,100,100,100,98.59,99.53
KPN_00888,100,99.64,100,100,100,100,100,100,100,99.64,100,99.64,100,100,100,99.64,99.64,99.64,100,100,99.64,100,100,100,100,99.64,100,100,100,100,100,99.64,100,100,100,99.64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.64,100,100,100,100,100,99.64,100,100,100,100,100,100,100,100,100,99.28
KPN_03109,100,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,100,99.58,99.58,99.58,99.58,98,98.74,98.96,100,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,97.88,99.15,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.15,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,100,99.15,99.58,99.58,99.58,99.58,98.31,99.15,99.15,100,100,100,97.88,99.15
KPN_03756,99.6,99.6,99.6,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.6,99.21,99.21,99.21,99.6,99.21,99.21,99.21,99.6,99.21,99.21,99.21,99.21,99.6,99.6,99.21,99.6,99.21,95.65,99.6,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.6,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,99.21,95.65,99.6,99.6,100,100,99.6,98.81,98.81
KPN_02000,100,100,,100,100,100,100,100,100,100,100,100,100,99.05,100,100,100,100,100,100,100,99.53,100,100,100,100,100,100,100,100,100,100,99.52,100,100,100,99.05,100,100,99.05,99.52,100,100,100,100,100,100,100,99.53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,100,100,100,100,99.05,99.53,99.53,100,100,100,97.63,100
KPN_01255,99.34,98.89,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.34,99.56,99.56,99.56,99.34,99.34,99.56,99.34,99.56,99.56,98.89,99.12,99.56,99.34,99.12,99.56,98.89,99.56,97.79,98.68,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,98.89,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,100,99.58,99.56,99.56,99.56,99.56,97.79,99.12,99.12,100,100,99.56,98.23,99.34
KPN_03520,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.79,100,100,100,100,97.87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.87,100,100,100,100,100,98.72,99.56
KPN_02481,100,100,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,99.61,99.61,99.22,99.61,99.61,99.61,100,99.61,100,100,99.61,99.61,100,100,100,99.61,99.22,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,99.61,100,99.61,99.61,100,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61,100,100,99.61,99.61,99.61,99.61,99.61,100,100,100,100,100,99.22,99.61
KPN_04659,99.4,99.7,99.4,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.23,99.7,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,99.7,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,100,99.7,99.7,99.7,99.7,99.7,99.7,99.7,100,100,100,99.4,100
KPN_03118,99.82,99.82,100,99.82,99.82,99.82,99.82,99.82,99.29,99.82,99.82,99.29,99.82,99.82,99.82,99.29,99.82,99.82,99.82,99.29,99.29,100,99.82,99.82,99.29,100,99.82,99.82,99.82,99.65,100,100,100,99.82,99.82,99.82,99.82,100,99.82,99.3,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,100,99.82,99.82,99.82,99.82,100,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,99.82,100,100,99.82,99.82,99.82,99.82,98.95,99.82,99.82,100,100,99.65,98.77,100
KPN_01473,99.16,98.31,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,98.31,99.16,99.16,99.16,98.88,98.88,98.88,98.03,99.16,99.44,98.36,99.16,99.44,99.16,96.91,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,98.88,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,98.6,99.16,99.16,99.16,99.16,97.19,99.16,99.16,100,100,98.88,98.6,98.88
KPN_02649,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,100,100,100,95.65,100,100,100,100,100,100,100,100,100,100,100,100,100,99.74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.47,100,100,100,100,100,96.42,99.74,99.74,100,100,100,96.93,99.74
KPN_03190,99.62,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.62,99.24,99.24,99.24,99.62,99.24,,99.24,98.11,99.62,99.24,99.62,99.24,99.24,99.24,99.24,99.62,99.24,96.59,99.62,99.24,99.24,99.24,99.24,99.24,99.24,99.24,98.86,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.62,99.24,99.24,99.24,99.24,99.24,96.97,99.62,99.62,100,100,98.11,97.35,100
KPN_02573,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.37,100,100,100,100,100,100,100,100,99.68,100,100,100,100,100,100,100,100,99.05,100,100,100,100,100,100,100,100,100,100,100,100,100,99.68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.05,100,100,100,100,100,98.1,99.68
KPN_04149,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.18,100,100,100,100,100,98.18,100
KPN_00344,99.83,100,99.67,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,100,99.83,99.83,99.83,100,99.83,99.83,99.83,99.83,100,100,100,99.83,100,100,99.83,100,99.83,97.69,99.75,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,100,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,100,99.78,99.83,99.83,99.83,99.83,97.36,99.83,99.83,100,100,99.83,98.68,99.83
KPN_04850,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,100,100,100,100,100,100,100,100,100,99.53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.53,100,100,100,100,99.53,100,100,100,100,99.53,99.53,100
KPN_04308,99.64,99.27,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.13,99.64,99.64,99.13,99.64,99.64,99.64,99.13,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,100,100,99.64,99.64,99.64
